"Attrition","Age","JobRole","Department","JobSatisfaction","WorkLifeBalance","YearsAtCompany","OverTime","Education","EnvironmentSatisfaction","JobInvolvement","RelationshipSatisfaction","Gender","YearsInCurrentRole","JobLevel","TotalWorkingYears","EducationField","EmployeeNumber","PerformanceRating"
"No",34,"Research Scientist","Research & Development",4,3,6,"Yes",2,2,2,4,"Male",5,1,6,"Life Sciences",649,3
"Yes",31,"Sales Executive","Sales",1,1,3,"No",4,2,3,3,"Male",1,2,9,"Medical",650,3
"No",35,"Laboratory Technician","Research & Development",4,3,3,"No",2,1,2,4,"Male",2,2,9,"Other",652,3
"No",31,"Sales Executive","Sales",4,4,7,"No",4,1,4,4,"Male",7,2,13,"Medical",653,4
"No",27,"Research Scientist","Research & Development",3,2,5,"No",4,1,2,3,"Female",3,1,6,"Medical",655,3
"No",37,"Sales Executive","Sales",3,2,3,"Yes",3,4,3,3,"Male",0,2,17,"Marketing",656,3
"No",20,"Research Scientist","Research & Development",2,4,1,"No",3,4,2,4,"Female",0,1,1,"Life Sciences",657,3
"No",42,"Healthcare Representative","Research & Development",4,3,10,"No",4,3,3,2,"Female",2,2,10,"Life Sciences",659,3
"No",43,"Research Director","Research & Development",4,2,1,"Yes",4,2,2,3,"Male",0,4,21,"Other",661,3
"No",38,"Research Scientist","Research & Development",1,2,0,"No",1,3,3,4,"Female",0,1,8,"Life Sciences",662,3
"No",43,"Laboratory Technician","Research & Development",3,3,8,"Yes",5,4,3,2,"Male",7,2,10,"Medical",663,3
"No",48,"Manager","Research & Development",1,1,3,"No",4,4,2,1,"Female",2,4,21,"Life Sciences",664,3
"No",44,"Human Resources","Human Resources",3,4,2,"No",4,1,2,2,"Female",2,2,10,"Life Sciences",665,3
"No",34,"Sales Representative","Sales",3,3,8,"Yes",3,3,3,4,"Female",2,1,8,"Technical Degree",666,3
"Yes",27,"Sales Representative","Sales",1,3,4,"No",1,3,3,2,"Male",3,1,5,"Marketing",667,3
"No",21,"Sales Representative","Sales",3,3,3,"No",1,3,3,3,"Male",2,1,3,"Technical Degree",669,3
"No",44,"Manager","Research & Development",4,4,2,"Yes",4,4,3,1,"Male",2,5,26,"Other",671,3
"No",22,"Research Scientist","Research & Development",3,3,2,"No",1,1,3,4,"Male",2,1,3,"Medical",675,4
"No",33,"Sales Executive","Sales",3,3,5,"No",4,3,3,4,"Male",0,2,6,"Marketing",677,3
"No",32,"Research Scientist","Research & Development",4,2,6,"Yes",4,1,3,4,"Female",4,2,6,"Life Sciences",679,3
"No",30,"Research Scientist","Research & Development",3,3,1,"No",3,3,3,3,"Female",0,1,1,"Medical",680,4
"No",53,"Sales Executive","Sales",1,4,14,"No",1,4,3,4,"Female",7,2,18,"Medical",682,4
"No",34,"Research Scientist","Research & Development",4,2,10,"No",5,2,3,4,"Male",9,1,10,"Life Sciences",683,3
"Yes",45,"Sales Executive","Sales",1,3,1,"No",4,1,3,4,"Female",1,2,5,"Life Sciences",684,3
"No",26,"Laboratory Technician","Research & Development",4,3,3,"Yes",3,3,3,3,"Female",2,1,3,"Life Sciences",686,3
"No",37,"Manufacturing Director","Research & Development",3,3,10,"No",3,3,3,3,"Male",7,3,10,"Other",689,3
"No",29,"Sales Executive","Sales",3,2,6,"No",2,2,3,1,"Female",0,2,6,"Medical",690,3
"No",35,"Research Scientist","Research & Development",4,3,17,"No",4,2,1,2,"Male",11,2,17,"Life Sciences",691,3
"No",33,"Healthcare Representative","Research & Development",4,1,13,"No",3,3,3,3,"Male",11,2,15,"Life Sciences",692,4
"No",54,"Human Resources","Human Resources",2,4,9,"No",4,3,3,3,"Male",7,3,16,"Medical",698,3
"No",36,"Manufacturing Director","Research & Development",2,3,3,"Yes",2,2,2,3,"Male",2,2,13,"Medical",699,3
"No",27,"Research Scientist","Research & Development",4,3,4,"No",4,1,2,4,"Male",2,1,5,"Medical",700,3
"Yes",20,"Research Scientist","Research & Development",3,3,1,"Yes",1,4,3,4,"Male",0,1,1,"Medical",701,3
"Yes",33,"Research Scientist","Research & Development",1,3,10,"Yes",3,1,3,1,"Male",8,1,10,"Life Sciences",702,3
"No",35,"Laboratory Technician","Research & Development",3,3,1,"No",3,3,2,3,"Male",0,1,1,"Life Sciences",704,3
"No",23,"Research Scientist","Research & Development",1,4,3,"No",3,1,4,1,"Male",2,1,5,"Medical",705,3
"No",25,"Sales Executive","Sales",2,3,3,"No",3,4,4,3,"Male",2,2,4,"Life Sciences",707,4
"No",38,"Sales Executive","Sales",4,3,7,"No",4,4,2,1,"Female",7,2,8,"Marketing",709,4
"No",29,"Research Scientist","Research & Development",4,3,10,"No",4,2,1,4,"Male",7,1,10,"Life Sciences",710,3
"No",48,"Sales Executive","Sales",2,3,2,"No",1,2,4,4,"Male",2,2,12,"Marketing",712,3
"No",27,"Sales Executive","Sales",4,3,6,"Yes",1,4,4,2,"Female",5,2,6,"Medical",714,4
"No",37,"Research Scientist","Research & Development",4,3,1,"No",2,4,4,1,"Male",0,1,4,"Life Sciences",715,3
"No",50,"Laboratory Technician","Research & Development",3,3,20,"Yes",1,4,4,3,"Male",8,1,20,"Medical",716,3
"No",34,"Healthcare Representative","Research & Development",2,4,8,"No",3,4,2,2,"Female",7,3,9,"Medical",717,3
"Yes",24,"Sales Executive","Sales",3,3,2,"No",2,1,3,1,"Female",2,2,4,"Life Sciences",720,3
"No",39,"Healthcare Representative","Research & Development",3,3,20,"No",4,4,2,1,"Female",7,2,20,"Technical Degree",721,3
"No",32,"Sales Executive","Sales",4,2,10,"No",3,4,3,4,"Male",7,2,10,"Marketing",722,3
"Yes",50,"Sales Executive","Sales",3,3,4,"Yes",2,2,3,1,"Male",3,2,18,"Technical Degree",723,3
"No",38,"Healthcare Representative","Research & Development",4,2,9,"No",4,2,4,3,"Female",7,2,10,"Life Sciences",724,3
"No",27,"Manufacturing Director","Research & Development",1,3,9,"No",2,3,3,4,"Female",7,3,9,"Life Sciences",725,3
"No",32,"Research Director","Research & Development",4,3,7,"No",2,3,3,4,"Female",7,3,10,"Life Sciences",727,3
"No",47,"Sales Executive","Sales",1,3,7,"No",4,4,3,4,"Male",7,2,20,"Marketing",728,3
"No",40,"Sales Executive","Sales",1,3,18,"Yes",4,4,2,3,"Male",13,3,20,"Life Sciences",729,4
"No",53,"Research Director","Research & Development",3,3,5,"No",3,3,4,3,"Male",1,4,32,"Life Sciences",730,3
"No",41,"Manager","Human Resources",4,2,21,"No",4,2,2,2,"Male",6,5,23,"Human Resources",731,3
"No",60,"Sales Executive","Sales",1,3,2,"No",4,1,3,4,"Male",2,2,10,"Marketing",732,3
"No",27,"Manufacturing Director","Research & Development",1,2,9,"No",2,4,3,3,"Male",7,3,9,"Life Sciences",733,4
"No",41,"Manager","Human Resources",3,3,22,"No",3,4,2,2,"Male",7,5,22,"Human Resources",734,3
"No",50,"Sales Representative","Sales",2,3,2,"No",4,4,3,4,"Male",2,1,4,"Marketing",738,3
"Yes",28,"Research Scientist","Research & Development",2,3,7,"Yes",2,1,1,4,"Female",7,1,10,"Life Sciences",741,3
"No",36,"Research Director","Research & Development",1,3,8,"No",3,1,4,1,"Female",7,3,10,"Life Sciences",742,3
"No",38,"Manufacturing Director","Research & Development",3,4,1,"Yes",3,3,3,4,"Female",0,3,10,"Life Sciences",743,3
"No",44,"Laboratory Technician","Research & Development",3,3,5,"No",3,1,1,3,"Male",2,1,9,"Medical",744,3
"No",47,"Sales Executive","Sales",3,2,22,"Yes",3,4,3,4,"Female",2,4,28,"Medical",746,3
"No",30,"Sales Executive","Sales",4,2,8,"No",5,3,3,4,"Male",7,2,10,"Marketing",747,4
"No",29,"Sales Representative","Sales",3,3,1,"No",3,3,3,3,"Male",0,1,1,"Life Sciences",749,3
"Yes",42,"Research Scientist","Research & Development",3,3,2,"Yes",3,3,4,4,"Male",2,1,7,"Medical",752,3
"No",43,"Sales Executive","Sales",4,3,2,"No",3,4,2,3,"Male",2,2,7,"Life Sciences",754,3
"No",34,"Healthcare Representative","Research & Development",3,3,5,"No",2,2,3,4,"Female",1,2,10,"Medical",757,3
"No",23,"Laboratory Technician","Research & Development",1,4,4,"No",1,2,3,4,"Male",3,1,5,"Medical",758,3
"No",39,"Human Resources","Human Resources",2,1,8,"No",3,3,4,3,"Female",3,2,12,"Human Resources",760,3
"No",56,"Healthcare Representative","Research & Development",4,2,10,"No",3,3,3,3,"Male",7,4,30,"Medical",762,3
"No",40,"Research Scientist","Research & Development",4,2,4,"Yes",1,4,2,4,"Female",2,1,5,"Medical",763,4
"No",27,"Healthcare Representative","Research & Development",1,1,7,"No",3,4,2,1,"Female",6,2,9,"Medical",764,3
"No",29,"Sales Representative","Sales",2,3,2,"No",3,4,3,4,"Male",2,1,2,"Marketing",766,3
"No",53,"Laboratory Technician","Research & Development",4,3,2,"No",3,4,3,4,"Male",2,2,19,"Life Sciences",769,3
"No",35,"Healthcare Representative","Research & Development",1,4,1,"No",4,4,3,1,"Female",0,2,16,"Life Sciences",771,3
"No",32,"Laboratory Technician","Research & Development",4,3,10,"No",4,1,3,4,"Male",8,2,10,"Life Sciences",772,3
"No",38,"Research Scientist","Research & Development",3,1,1,"Yes",5,4,3,2,"Male",0,1,6,"Medical",773,3
"No",34,"Manufacturing Director","Research & Development",1,3,0,"No",5,2,3,3,"Female",0,2,7,"Life Sciences",775,3
"No",52,"Manager","Sales",1,4,34,"No",4,3,2,1,"Male",6,4,34,"Marketing",776,3
"Yes",33,"Research Scientist","Research & Development",4,2,10,"Yes",4,4,3,3,"Male",9,1,10,"Other",780,3
"No",25,"Sales Executive","Sales",4,2,6,"No",1,3,3,2,"Female",5,2,6,"Medical",781,4
"No",45,"Sales Representative","Sales",3,3,8,"No",2,2,1,1,"Male",7,2,9,"Technical Degree",783,3
"No",23,"Research Scientist","Research & Development",3,3,2,"No",1,1,4,4,"Male",2,1,2,"Medical",784,3
"Yes",47,"Sales Executive","Sales",3,3,5,"Yes",2,2,4,4,"Female",4,2,8,"Life Sciences",785,3
"No",34,"Sales Executive","Sales",4,3,6,"No",3,4,3,3,"Male",5,2,6,"Other",786,4
"Yes",55,"Manager","Research & Development",1,3,5,"Yes",3,4,3,4,"Male",2,5,24,"Medical",787,3
"No",36,"Sales Executive","Sales",1,3,10,"No",4,1,2,2,"Male",7,3,10,"Life Sciences",789,3
"No",52,"Research Scientist","Research & Development",4,3,4,"No",4,4,3,1,"Male",3,1,5,"Medical",791,3
"No",26,"Laboratory Technician","Research & Development",4,3,2,"No",2,1,1,1,"Female",2,1,5,"Life Sciences",792,3
"No",29,"Healthcare Representative","Research & Development",3,2,8,"No",3,2,3,1,"Female",7,2,11,"Medical",793,3
"Yes",26,"Sales Executive","Sales",1,2,4,"No",3,4,2,3,"Male",3,2,6,"Technical Degree",796,3
"No",34,"Research Scientist","Research & Development",4,3,4,"No",4,2,4,3,"Female",2,1,10,"Life Sciences",797,3
"No",54,"Manufacturing Director","Research & Development",1,3,5,"Yes",4,4,3,2,"Female",3,2,9,"Medical",799,3
"No",27,"Sales Executive","Sales",4,3,4,"No",1,3,3,2,"Male",2,2,5,"Marketing",800,3
"No",37,"Research Scientist","Research & Development",1,2,5,"Yes",1,4,3,2,"Female",3,1,6,"Life Sciences",802,3
"No",38,"Manufacturing Director","Research & Development",1,3,15,"Yes",4,1,4,4,"Female",7,2,17,"Life Sciences",803,3
"No",34,"Research Scientist","Research & Development",1,3,6,"No",4,3,2,3,"Female",5,1,6,"Medical",804,3
"No",35,"Sales Representative","Sales",4,2,3,"No",4,1,3,2,"Female",2,1,3,"Life Sciences",805,3
"No",30,"Laboratory Technician","Research & Development",3,3,2,"No",3,4,1,3,"Male",2,1,7,"Life Sciences",806,4
"No",40,"Healthcare Representative","Research & Development",2,3,8,"No",2,3,4,4,"Female",7,2,8,"Medical",807,4
"No",34,"Sales Executive","Sales",1,3,3,"No",2,3,3,2,"Female",2,2,6,"Life Sciences",808,3
"No",42,"Manager","Research & Development",4,2,24,"No",3,2,3,2,"Male",7,5,24,"Life Sciences",809,3
"Yes",23,"Laboratory Technician","Research & Development",1,3,0,"Yes",3,3,4,3,"Male",0,1,1,"Life Sciences",811,4
"No",24,"Laboratory Technician","Research & Development",2,3,1,"No",3,3,2,3,"Male",0,1,1,"Life Sciences",812,3
"No",52,"Laboratory Technician","Research & Development",3,3,5,"No",4,4,3,2,"Female",2,2,9,"Life Sciences",813,4
"No",50,"Research Director","Research & Development",3,3,4,"No",3,3,3,4,"Male",3,4,30,"Medical",815,3
"Yes",29,"Laboratory Technician","Research & Development",1,3,1,"Yes",2,2,2,4,"Female",0,1,1,"Life Sciences",816,3
"No",33,"Research Director","Research & Development",3,4,13,"No",3,3,3,4,"Male",9,3,14,"Medical",817,3
"Yes",33,"Sales Executive","Sales",1,3,3,"No",3,1,3,3,"Female",2,2,6,"Marketing",819,3
"No",47,"Manager","Research & Development",4,2,26,"Yes",2,3,3,3,"Female",14,4,26,"Other",820,3
"No",36,"Manufacturing Director","Research & Development",2,3,9,"No",3,3,3,1,"Female",7,2,10,"Other",823,3
"No",29,"Research Scientist","Research & Development",3,3,10,"No",2,3,4,3,"Male",7,1,10,"Life Sciences",824,4
"Yes",58,"Research Director","Research & Development",2,3,31,"Yes",4,4,3,4,"Male",15,5,40,"Life Sciences",825,3
"No",35,"Research Scientist","Research & Development",3,3,2,"No",4,4,4,3,"Female",2,1,7,"Life Sciences",826,3
"No",42,"Manufacturing Director","Research & Development",4,3,4,"Yes",2,4,2,4,"Female",3,2,8,"Life Sciences",827,3
"Yes",28,"Research Scientist","Research & Development",3,2,2,"No",4,3,3,4,"Male",2,1,5,"Medical",828,3
"No",36,"Human Resources","Human Resources",2,3,5,"No",3,3,3,2,"Male",2,1,8,"Human Resources",829,3
"No",32,"Manufacturing Director","Research & Development",3,3,14,"No",3,3,2,3,"Female",13,2,14,"Life Sciences",830,3
"No",40,"Laboratory Technician","Research & Development",3,3,1,"No",4,1,2,4,"Male",0,2,10,"Medical",832,3
"No",30,"Manufacturing Director","Research & Development",4,2,0,"Yes",3,3,2,2,"Female",0,2,12,"Medical",833,4
"No",45,"Research Scientist","Research & Development",3,3,1,"No",3,2,2,4,"Female",0,1,1,"Life Sciences",834,3
"No",42,"Manufacturing Director","Research & Development",2,2,9,"No",3,2,3,4,"Male",8,2,10,"Life Sciences",836,3
"No",38,"Healthcare Representative","Research & Development",1,2,4,"No",3,1,2,3,"Male",3,2,13,"Life Sciences",837,3
"No",34,"Research Scientist","Research & Development",4,3,5,"No",4,3,2,3,"Female",2,1,6,"Life Sciences",838,3
"Yes",49,"Sales Executive","Sales",4,4,9,"No",3,3,3,1,"Female",8,3,9,"Marketing",840,3
"Yes",55,"Sales Executive","Sales",4,2,9,"No",1,3,3,3,"Male",7,2,12,"Medical",842,3
"No",43,"Research Director","Research & Development",1,3,4,"No",2,2,3,3,"Male",1,4,22,"Life Sciences",843,4
"No",27,"Research Director","Research & Development",4,3,9,"Yes",1,3,2,2,"Male",8,3,9,"Technical Degree",844,3
"No",35,"Manufacturing Director","Research & Development",3,4,8,"No",3,3,3,2,"Male",5,3,17,"Other",845,4
"No",28,"Sales Executive","Sales",2,3,8,"Yes",4,2,3,1,"Female",7,2,8,"Marketing",846,4
"No",34,"Human Resources","Human Resources",4,1,3,"No",2,3,3,3,"Male",2,1,4,"Human Resources",847,3
"Yes",26,"Research Scientist","Research & Development",3,3,8,"Yes",2,3,2,1,"Female",7,1,8,"Medical",848,3
"No",27,"Research Scientist","Research & Development",4,2,0,"No",3,4,3,3,"Male",0,1,0,"Medical",850,3
"No",51,"Manager","Sales",3,2,20,"No",4,1,3,3,"Female",6,4,29,"Marketing",851,3
"No",44,"Healthcare Representative","Research & Development",2,2,5,"No",3,4,3,4,"Male",2,2,10,"Medical",852,3
"No",25,"Research Scientist","Research & Development",1,2,4,"No",1,1,4,3,"Male",3,1,6,"Medical",854,3
"No",33,"Sales Executive","Sales",1,3,9,"No",3,1,4,1,"Male",8,2,9,"Medical",855,4
"No",35,"Research Scientist","Research & Development",1,2,6,"No",1,3,2,4,"Female",5,1,6,"Medical",856,3
"No",36,"Sales Executive","Sales",4,2,18,"Yes",2,2,3,4,"Male",14,2,18,"Life Sciences",857,3
"No",32,"Sales Executive","Sales",4,2,5,"No",4,2,3,3,"Male",2,2,8,"Life Sciences",859,3
"No",30,"Research Scientist","Research & Development",4,2,5,"No",4,2,2,2,"Male",4,1,10,"Life Sciences",861,3
"No",53,"Sales Executive","Sales",4,3,5,"Yes",2,1,2,4,"Female",2,3,35,"Marketing",862,3
"No",45,"Sales Executive","Sales",1,3,5,"Yes",3,4,3,3,"Male",4,3,18,"Marketing",864,3
"No",32,"Research Scientist","Research & Development",3,2,5,"No",2,3,4,3,"Female",3,2,9,"Medical",865,3
"No",52,"Manufacturing Director","Research & Development",4,3,9,"No",4,3,2,3,"Female",8,4,31,"Medical",867,4
"No",37,"Sales Executive","Sales",3,3,1,"No",4,4,2,4,"Male",0,2,9,"Marketing",868,3
"No",28,"Human Resources","Human Resources",4,3,5,"No",2,2,2,4,"Male",1,1,6,"Medical",869,3
"No",22,"Manufacturing Director","Research & Development",4,1,2,"No",2,4,2,1,"Male",2,2,4,"Life Sciences",872,4
"No",44,"Laboratory Technician","Research & Development",4,2,3,"Yes",4,1,4,3,"Male",2,1,10,"Life Sciences",874,4
"No",42,"Research Scientist","Research & Development",4,3,2,"Yes",1,2,3,4,"Male",1,1,8,"Medical",875,3
"No",36,"Human Resources","Human Resources",1,3,5,"No",3,1,2,3,"Male",4,1,6,"Life Sciences",878,4
"No",25,"Sales Executive","Sales",1,3,5,"Yes",1,3,3,4,"Male",3,2,5,"Other",879,3
"No",35,"Manufacturing Director","Research & Development",3,3,17,"Yes",3,4,2,2,"Female",14,3,17,"Life Sciences",880,4
"Yes",35,"Research Scientist","Research & Development",2,2,10,"Yes",4,4,3,1,"Female",2,1,10,"Life Sciences",881,3
"No",32,"Laboratory Technician","Research & Development",4,3,3,"No",3,4,3,2,"Male",0,1,4,"Life Sciences",882,3
"No",25,"Sales Executive","Sales",1,4,5,"No",1,3,2,1,"Male",2,2,5,"Marketing",885,3
"No",49,"Research Scientist","Research & Development",1,3,4,"No",3,3,3,2,"Female",2,1,7,"Technical Degree",887,3
"No",24,"Laboratory Technician","Research & Development",4,2,5,"No",1,1,2,4,"Male",2,1,6,"Life Sciences",888,3
"No",32,"Sales Executive","Sales",2,3,10,"No",2,2,3,4,"Male",8,2,10,"Life Sciences",889,3
"No",38,"Sales Representative","Sales",2,3,2,"No",3,2,2,4,"Male",2,1,3,"Marketing",893,3
"No",42,"Laboratory Technician","Research & Development",4,2,5,"Yes",3,3,4,2,"Female",3,2,17,"Life Sciences",894,3
"No",31,"Research Scientist","Research & Development",4,3,6,"Yes",4,4,3,2,"Male",4,1,8,"Life Sciences",895,3
"Yes",29,"Sales Representative","Sales",3,3,3,"Yes",3,2,2,3,"Female",2,1,5,"Medical",896,3
"No",53,"Sales Executive","Sales",4,3,2,"No",3,1,3,3,"Male",0,4,28,"Marketing",897,3
"No",35,"Manufacturing Director","Research & Development",2,3,13,"No",3,4,2,1,"Male",10,3,16,"Technical Degree",899,3
"No",37,"Sales Representative","Sales",4,3,5,"No",2,3,3,2,"Female",4,1,10,"Medical",900,3
"No",53,"Research Director","Research & Development",4,3,12,"No",4,4,3,3,"Female",9,4,33,"Life Sciences",901,3
"No",43,"Healthcare Representative","Research & Development",4,2,5,"No",3,4,3,2,"Female",2,2,12,"Life Sciences",902,3
"No",47,"Sales Executive","Sales",4,3,7,"Yes",2,3,3,1,"Female",6,2,8,"Marketing",903,4
"No",37,"Sales Executive","Sales",2,3,10,"Yes",2,1,3,4,"Male",0,3,10,"Medical",904,3
"No",50,"Manager","Research & Development",1,3,31,"No",4,1,3,4,"Male",6,4,31,"Life Sciences",905,3
"No",39,"Human Resources","Human Resources",4,3,5,"No",3,4,2,3,"Female",4,2,13,"Life Sciences",909,3
"No",33,"Human Resources","Human Resources",2,4,4,"Yes",2,4,3,3,"Male",3,1,7,"Human Resources",910,3
"Yes",32,"Laboratory Technician","Research & Development",4,1,1,"Yes",4,1,3,3,"Male",0,1,1,"Life Sciences",911,4
"No",29,"Laboratory Technician","Research & Development",4,3,4,"No",1,1,2,3,"Female",3,1,8,"Medical",912,3
"No",44,"Research Scientist","Research & Development",1,3,8,"Yes",2,2,3,4,"Male",7,1,8,"Life Sciences",913,3
"No",28,"Sales Executive","Sales",4,3,4,"No",4,1,3,2,"Male",2,2,4,"Medical",916,3
"Yes",58,"Laboratory Technician","Research & Development",4,2,1,"Yes",1,4,2,4,"Male",0,1,3,"Life Sciences",918,3
"No",43,"Manufacturing Director","Research & Development",2,4,1,"No",3,1,3,3,"Female",0,2,4,"Life Sciences",920,4
"Yes",20,"Sales Representative","Sales",3,2,2,"No",3,3,2,4,"Female",2,1,2,"Medical",922,3
"Yes",21,"Research Scientist","Research & Development",4,2,1,"No",1,4,3,1,"Female",0,1,1,"Other",923,3
"No",36,"Healthcare Representative","Research & Development",4,2,16,"Yes",1,3,3,1,"Male",8,2,17,"Life Sciences",924,3
"No",47,"Sales Representative","Sales",4,2,3,"Yes",4,4,2,1,"Female",2,1,3,"Life Sciences",925,3
"Yes",22,"Manufacturing Director","Research & Development",3,4,3,"Yes",1,2,3,1,"Female",2,2,4,"Life Sciences",926,3
"Yes",41,"Laboratory Technician","Research & Development",4,2,7,"Yes",4,2,1,3,"Female",7,1,10,"Life Sciences",927,3
"No",28,"Research Scientist","Research & Development",3,3,2,"No",3,3,3,2,"Female",2,1,6,"Medical",930,3
"Yes",39,"Laboratory Technician","Research & Development",1,1,2,"Yes",3,4,3,4,"Male",2,1,8,"Medical",932,4
"No",27,"Research Scientist","Research & Development",3,3,1,"No",3,2,3,3,"Female",1,1,1,"Life Sciences",933,3
"No",34,"Laboratory Technician","Research & Development",2,3,1,"No",3,2,3,2,"Male",0,1,1,"Life Sciences",934,3
"No",42,"Sales Executive","Sales",3,3,5,"No",2,3,2,1,"Female",4,2,10,"Medical",936,3
"No",33,"Research Scientist","Research & Development",1,3,3,"Yes",4,3,2,2,"Male",2,1,6,"Other",939,3
"No",58,"Healthcare Representative","Research & Development",2,3,6,"Yes",3,3,2,4,"Female",0,3,24,"Technical Degree",940,3
"No",31,"Sales Representative","Sales",3,4,7,"No",4,2,2,2,"Male",7,1,13,"Life Sciences",941,3
"No",35,"Healthcare Representative","Research & Development",4,1,10,"Yes",1,4,3,4,"Female",6,2,10,"Life Sciences",942,4
"No",49,"Laboratory Technician","Research & Development",2,2,26,"No",2,1,3,3,"Female",9,3,29,"Other",944,3
"No",48,"Research Scientist","Research & Development",3,2,0,"No",4,4,3,1,"Male",0,1,13,"Medical",945,3
"No",31,"Sales Executive","Sales",3,2,9,"No",2,4,3,4,"Female",8,2,9,"Marketing",947,3
"No",36,"Research Scientist","Research & Development",4,3,6,"No",4,2,3,3,"Male",2,1,8,"Other",949,3
"No",38,"Research Director","Research & Development",1,3,15,"No",3,4,3,2,"Female",12,3,15,"Technical Degree",950,3
"No",32,"Laboratory Technician","Research & Development",2,3,3,"No",3,3,2,3,"Female",0,1,5,"Life Sciences",951,4
"Yes",25,"Sales Representative","Sales",2,3,1,"Yes",2,3,2,3,"Male",0,1,1,"Marketing",952,3
"No",40,"Sales Executive","Sales",2,2,1,"No",4,1,2,2,"Male",0,3,11,"Marketing",954,3
"No",26,"Sales Executive","Sales",1,3,7,"No",3,3,2,2,"Male",7,2,7,"Medical",956,3
"No",41,"Laboratory Technician","Research & Development",1,3,18,"Yes",3,4,3,3,"Male",13,1,20,"Medical",957,3
"No",36,"Laboratory Technician","Research & Development",3,3,11,"No",4,3,3,3,"Male",8,1,16,"Medical",958,4
"Yes",19,"Sales Representative","Sales",2,4,1,"Yes",3,4,2,2,"Male",0,1,1,"Other",959,3
"Yes",20,"Laboratory Technician","Research & Development",1,3,1,"No",3,1,3,2,"Male",0,1,1,"Technical Degree",960,3
"No",31,"Healthcare Representative","Research & Development",4,1,9,"Yes",3,4,3,3,"Female",7,2,10,"Medical",961,3
"No",40,"Research Scientist","Research & Development",2,3,1,"Yes",4,4,3,4,"Male",1,1,3,"Medical",964,3
"No",32,"Manufacturing Director","Research & Development",1,4,8,"No",4,3,3,3,"Female",7,2,8,"Medical",966,3
"Yes",36,"Sales Executive","Sales",4,3,16,"Yes",1,3,2,1,"Male",7,3,16,"Life Sciences",967,3
"No",33,"Healthcare Representative","Research & Development",4,3,5,"No",3,2,2,1,"Female",0,2,6,"Life Sciences",969,3
"Yes",37,"Sales Executive","Sales",3,1,14,"No",4,1,2,3,"Male",1,3,17,"Life Sciences",970,3
"No",45,"Laboratory Technician","Research & Development",2,2,9,"No",2,3,3,2,"Male",7,2,9,"Life Sciences",972,3
"No",29,"Sales Representative","Sales",4,3,3,"No",3,3,3,2,"Female",1,1,3,"Technical Degree",974,3
"No",35,"Sales Executive","Sales",3,3,5,"No",3,3,3,2,"Female",2,2,5,"Medical",975,3
"No",52,"Manager","Research & Development",4,2,9,"No",2,4,3,2,"Male",8,4,26,"Life Sciences",976,3
"Yes",58,"Research Scientist","Research & Development",3,3,1,"No",3,4,3,1,"Male",0,1,7,"Technical Degree",977,4
"No",53,"Manager","Sales",3,4,17,"No",2,3,3,3,"Male",13,4,22,"Medical",981,3
"No",30,"Sales Executive","Sales",3,4,8,"No",2,3,3,1,"Male",4,3,10,"Other",982,3
"No",38,"Sales Executive","Sales",4,3,5,"Yes",3,3,3,2,"Female",3,2,6,"Technical Degree",983,3
"No",35,"Sales Executive","Sales",4,3,10,"No",4,4,3,2,"Male",9,3,12,"Life Sciences",984,3
"No",39,"Sales Executive","Sales",3,3,8,"No",5,1,4,4,"Male",7,3,9,"Life Sciences",985,3
"Yes",40,"Sales Executive","Sales",2,2,1,"Yes",3,2,4,4,"Female",0,4,22,"Life Sciences",986,3
"No",47,"Manufacturing Director","Research & Development",3,4,19,"Yes",4,3,4,3,"Male",10,2,20,"Medical",987,3
"No",36,"Sales Executive","Sales",4,3,7,"No",4,1,3,4,"Male",7,2,12,"Technical Degree",990,3
"Yes",31,"Research Scientist","Research & Development",1,3,3,"Yes",2,3,2,1,"Male",2,1,4,"Medical",991,4
"No",33,"Manager","Sales",3,3,10,"No",3,4,3,4,"Male",8,4,10,"Life Sciences",992,3
"Yes",29,"Research Scientist","Research & Development",1,3,0,"Yes",3,4,2,3,"Female",0,1,3,"Life Sciences",994,4
"No",33,"Research Scientist","Research & Development",4,3,3,"No",1,2,3,1,"Female",2,1,5,"Life Sciences",995,3
"No",45,"Laboratory Technician","Research & Development",4,3,5,"No",4,4,3,4,"Female",3,1,8,"Medical",996,3
"No",50,"Research Director","Research & Development",4,2,5,"No",2,4,3,3,"Male",4,4,32,"Medical",997,4
"No",33,"Healthcare Representative","Research & Development",2,3,6,"Yes",4,3,4,1,"Female",5,2,6,"Other",998,3
"No",41,"Research Director","Research & Development",3,4,18,"No",3,1,3,2,"Male",16,5,21,"Medical",999,3
"No",27,"Laboratory Technician","Research & Development",2,3,2,"No",4,3,3,2,"Female",2,1,4,"Technical Degree",1001,3
"No",45,"Laboratory Technician","Research & Development",1,3,9,"Yes",2,4,3,3,"Male",8,2,9,"Life Sciences",1002,3
"No",47,"Sales Executive","Sales",4,3,9,"Yes",2,4,3,3,"Female",0,2,9,"Life Sciences",1003,3
"Yes",30,"Research Scientist","Research & Development",3,3,5,"Yes",3,1,3,2,"Female",2,1,7,"Life Sciences",1004,3
"No",50,"Manufacturing Director","Research & Development",3,3,12,"Yes",3,4,3,4,"Male",11,4,22,"Life Sciences",1005,3
"No",38,"Research Scientist","Research & Development",3,2,2,"No",1,3,3,2,"Male",1,1,3,"Medical",1006,3
